teamid,name,abbreviation,league,seed,wins,losses
1610612737,Atlanta Hawks,ATL,e,1,60,22
1610612738,Boston Celtics,BOS,e,7,40,42
1610612739,Cleveland Cavaliers,CLE,e,2,53,29
1610612740,New Orleans Pelicans,NOP,w,8,45,37
1610612741,Chicago Bulls,CHI,e,3,50,32
1610612742,Dallas Mavericks,DAL,w,7,50,32
1610612744,Golden State Warriors,GSW,w,1,67,15
1610612745,Houston Rockets,HOU,w,2,56,26
1610612746,Los Angeles Clippers,LAC,w,3,56,26
1610612749,Milwaukee Bucks,MIL,e,6,41,41
1610612751,Brooklyn Nets,BKN,e,8,38,44
1610612757,Portland Trail Blazers,POR,w,4,51,31
1610612759,San Antonio Spurs,SAS,w,6,55,27
1610612761,Toronto Raptors,TOR,e,4,49,33
1610612763,Memphis Grizzlies,MEM,w,5,55,27
1610612764,Washington Wizards,WAS,e,5,46,36
